"index","obj","pred","sub","val"
"s-12118","drug-DB12316","hasSameState","drug-DB03129","1.0"
"s-04890","drug-DB04683","hasCommonProducer","drug-DB05519","0.0"
"s-21287","drug-DB00614","hasCommonIndication","drug-DB10276","1.0"
"s-04677","drug-DB01380","hasCommonProducer","drug-DB01162","0.0"
"s-03194","drug-DB09338","hasCommonProducer","drug-DB08045","0.0"
"s-05500","drug-DB06550","interactsWith","drug-DB05793","1.0"
"s-22110","drug-DB09488","hasCommonIndication","drug-DB00950","1.0"
"s-17550","disease-DS011115","hasIndication","drug-DB11927","0.0"
"s-17337","disease-DS007742","hasIndication","drug-DB00950","1.0"
"s-09896","drug-DB13950","interactsWith","drug-DB13679","0.0"
"s-20616","drug-DB00006","hasCommonIndication","drug-DB01076","1.0"
"s-02523","drug-DB10561","hasCommonProducer","drug-DB12131","0.0"
"s-14573","drug-DB11577","hasSameState","drug-DB06772","0.0"
"s-11692","drug-DB04899","hasSameState","drug-DB02282","1.0"
"s-01040","drug-DB10463","hasCommonProducer","drug-DB10424","1.0"
"s-09023","drug-DB04783","interactsWith","drug-DB00175","0.0"
"s-13090","drug-DB01159","hasSameState","drug-DB06431","0.0"
"s-11479","drug-DB02624","hasSameState","drug-DB03747","1.0"
"s-07742","drug-DB06812","interactsWith","drug-DB13295","0.0"
"s-24352","drug-DB07298","hasCommonIndication","drug-DB05142","0.0"
"s-19792","disease-DS005660","hasIndication","drug-DB06287","0.0"
"s-24139","drug-DB13854","hasCommonIndication","drug-DB04942","0.0"
"s-07529","drug-DB08355","interactsWith","drug-DB06700","0.0"
"s-19579","disease-DS006536","hasIndication","drug-DB04059","0.0"
"s-13902","drug-DB13152","hasSameState","drug-DB09004","0.0"
"s-06046","drug-DB00946","interactsWith","drug-DB01117","1.0"
"s-18096","disease-DS005904","hasIndication","drug-DB03295","0.0"
"s-10808","drug-DB01503","hasSameState","drug-DB07024","1.0"
"s-22858","drug-DB12236","hasCommonIndication","drug-DB12872","0.0"
"s-12206","drug-DB08820","hasSameState","drug-DB13950","1.0"
"s-21375","drug-DB00399","hasCommonIndication","drug-DB06641","1.0"
"s-04765","drug-DB03219","hasCommonProducer","drug-DB12901","0.0"
"s-03282","drug-DB03257","hasCommonProducer","drug-DB11609","0.0"
"s-18908","disease-DS000611","hasIndication","drug-DB10615","0.0"
"s-03069","drug-DB00805","hasCommonProducer","drug-DB10341","0.0"
"s-17425","disease-DS003287","hasIndication","drug-DB05081","1.0"
"s-09984","drug-DB02990","interactsWith","drug-DB00912","0.0"
"s-01788","drug-DB02325","hasCommonProducer","drug-DB13999","1.0"
"s-20704","drug-DB01208","hasCommonIndication","drug-DB00365","1.0"
"s-14661","drug-DB01624","hasSameState","drug-DB14473","0.0"
"s-08288","drug-DB14165","interactsWith","drug-DB00696","0.0"
"s-02611","drug-DB04934","hasCommonProducer","drug-DB06310","0.0"
"s-11780","drug-DB07224","hasSameState","drug-DB08384","1.0"
"s-14448","drug-DB00898","hasSameState","drug-DB12682","0.0"
"s-09111","drug-DB14165","interactsWith","drug-DB00696","0.0"
"s-11567","drug-DB11262","hasSameState","drug-DB04963","1.0"
"s-10084","drug-DB10538","hasSameState","drug-DB12526","1.0"
"s-24440","drug-DB01233","hasCommonIndication","drug-DB01057","0.0"
"s-07830","drug-DB02828","interactsWith","drug-DB12498","0.0"
"s-19880","disease-DS001588","hasIndication","drug-DB04787","0.0"
"s-24227","drug-DB06913","hasCommonIndication","drug-DB02535","0.0"
"s-07617","drug-DB04783","interactsWith","drug-DB00341","0.0"
"s-19667","disease-DS001855","hasIndication","drug-DB10411","0.0"
"s-06134","drug-DB06176","interactsWith","drug-DB01117","1.0"
"s-18184","disease-DS008117","hasIndication","drug-DB08978","0.0"
"s-22946","drug-DB06883","hasCommonIndication","drug-DB00221","0.0"
"s-04853","drug-DB12197","hasCommonProducer","drug-DB14070","0.0"
"s-21463","drug-DB04843","hasCommonIndication","drug-DB00736","1.0"
"s-03370","drug-DB08720","hasCommonProducer","drug-DB11917","0.0"
"s-03157","drug-DB03127","hasCommonProducer","drug-DB02752","0.0"
"s-17513","disease-DS011248","hasIndication","drug-DB03309","0.0"
"s-16030","disease-DS002452","hasIndication","drug-DB05219","1.0"
"s-01876","drug-DB10581","hasCommonProducer","drug-DB10827","1.0"
"s-09859","drug-DB13950","interactsWith","drug-DB11595","0.0"
"s-00393","drug-DB10428","hasCommonProducer","drug-DB10437","1.0"
"s-08376","drug-DB14165","interactsWith","drug-DB01215","0.0"
"s-14536","drug-DB12389","hasSameState","drug-DB03285","0.0"
"s-11655","drug-DB13157","hasSameState","drug-DB01857","1.0"
"s-01003","drug-DB01234","hasCommonProducer","drug-DB00684","1.0"
"s-13053","drug-DB10934","hasSameState","drug-DB03010","0.0"
"s-10172","drug-DB00168","hasSameState","drug-DB12201","1.0"
"s-05399","drug-DB01229","interactsWith","drug-DB01256","1.0"
"s-24315","drug-DB03505","hasCommonIndication","drug-DB03103","0.0"
"s-07705","drug-DB00799","interactsWith","drug-DB04820","0.0"
"s-19755","disease-DS011133","hasIndication","drug-DB14653","0.0"
"s-06222","drug-DB00969","interactsWith","drug-DB00909","1.0"
"s-18272","disease-DS010400","hasIndication","drug-DB02919","0.0"
"s-06009","drug-DB11126","interactsWith","drug-DB00618","1.0"
"s-18059","disease-DS011173","hasIndication","drug-DB09261","0.0"
"s-21551","drug-DB09136","hasCommonIndication","drug-DB00960","1.0"
"s-04941","drug-DB09227","hasCommonProducer","drug-DB13083","0.0"
"s-16991","disease-DS002834","hasIndication","drug-DB00486","1.0"
"s-21338","drug-DB09221","hasCommonIndication","drug-DB00736","1.0"
"s-04728","drug-DB00806","hasCommonProducer","drug-DB12294","0.0"
"s-16778","disease-DS004830","hasIndication","drug-DB14502","1.0"
"s-03245","drug-DB10707","hasCommonProducer","drug-DB05353","0.0"
"s-15295","disease-DS006739","hasIndication","drug-DB00677","1.0"
"s-17601","disease-DS007086","hasIndication","drug-DB05859","0.0"
"s-01964","drug-DB00898","hasCommonProducer","drug-DB11587","1.0"
"s-09947","drug-DB11661","interactsWith","drug-DB12783","0.0"
"s-00481","drug-DB00956","hasCommonProducer","drug-DB11587","1.0"
"s-08464","drug-DB08355","interactsWith","drug-DB00745","0.0"
"s-00268","drug-DB10301","hasCommonProducer","drug-DB10313","1.0"
"s-14624","drug-DB12379","hasSameState","drug-DB10276","0.0"
"s-11743","drug-DB12263","hasSameState","drug-DB00465","1.0"
"s-23793","drug-DB13906","hasCommonIndication","drug-DB00004","0.0"
"s-13141","drug-DB10788","hasSameState","drug-DB04263","0.0"
"s-10260","drug-DB03126","hasSameState","drug-DB09040","1.0"
"s-10047","drug-DB03320","hasSameState","drug-DB14420","1.0"
"s-05487","drug-DB05260","interactsWith","drug-DB11466","1.0"
"s-22097","drug-DB05024","hasCommonIndication","drug-DB00658","1.0"
"s-24403","drug-DB04187","hasCommonIndication","drug-DB01821","0.0"
"s-19843","disease-DS012774","hasIndication","drug-DB01598","0.0"
"s-06310","drug-DB07615","interactsWith","drug-DB01062","1.0"
"s-18360","disease-DS003705","hasIndication","drug-DB02457","0.0"
"s-18147","disease-DS010147","hasIndication","drug-DB10916","0.0"
"s-22909","drug-DB11824","hasCommonIndication","drug-DB12124","0.0"
"s-21426","drug-DB06346","hasCommonIndication","drug-DB05303","1.0"
"s-04816","drug-DB05393","hasCommonProducer","drug-DB09191","0.0"
"s-16866","disease-DS000500","hasIndication","drug-DB09343","1.0"
"s-03333","drug-DB14527","hasCommonProducer","drug-DB01182","0.0"
"s-15383","disease-DS007124","hasIndication","drug-DB13933","1.0"
"s-13889","drug-DB08809","hasSameState","drug-DB11703","0.0"
"s-01839","drug-DB10299","hasCommonProducer","drug-DB10311","1.0"
"s-08552","drug-DB14165","interactsWith","drug-DB12054","0.0"
"s-00356","drug-DB14346","hasCommonProducer","drug-DB14344","1.0"
"s-08339","drug-DB04783","interactsWith","drug-DB01232","0.0"
"s-14712","drug-DB10963","hasSameState","drug-DB07535","0.0"
"s-11831","drug-DB10836","hasSameState","drug-DB12398","1.0"
"s-23881","drug-DB12209","hasCommonIndication","drug-DB05499","0.0"
"s-11618","drug-DB03140","hasSameState","drug-DB00370","1.0"
"s-23668","drug-DB05322","hasCommonIndication","drug-DB13907","0.0"
"s-13016","drug-DB06650","hasSameState","drug-DB02661","0.0"
"s-10135","drug-DB14482","hasSameState","drug-DB03382","1.0"
"s-22185","drug-DB08906","hasCommonIndication","drug-DB01222","1.0"
"s-05575","drug-DB06770","interactsWith","drug-DB01137","1.0"
"s-19931","disease-DS006010","hasIndication","drug-DB03522","0.0"
"s-04092","drug-DB11726","hasCommonProducer","drug-DB12706","0.0"
"s-19718","disease-DS012488","hasIndication","drug-DB04793","0.0"
"s-18235","disease-DS001185","hasIndication","drug-DB12693","0.0"
"s-02598","drug-DB12841","hasCommonProducer","drug-DB08211","0.0"
"s-21514","drug-DB00280","hasCommonIndication","drug-DB13620","1.0"
"s-04904","drug-DB06133","hasCommonProducer","drug-DB04049","0.0"
"s-16954","disease-DS002702","hasIndication","drug-DB06589","1.0"
"s-09098","drug-DB00799","interactsWith","drug-DB06207","0.0"
"s-20031","drug-DB01203","hasCommonIndication","drug-DB00598","1.0"
"s-03421","drug-DB06075","hasCommonProducer","drug-DB03621","0.0"
"s-15471","disease-DS007687","hasIndication","drug-DB09281","1.0"
"s-03208","drug-DB00411","hasCommonProducer","drug-DB11068","0.0"
"s-15258","disease-DS011976","hasIndication","drug-DB00368","1.0"
"s-01927","drug-DB14177","hasCommonProducer","drug-DB09091","1.0"
"s-13977","drug-DB09155","hasSameState","drug-DB14327","0.0"
"s-08640","drug-DB04783","interactsWith","drug-DB00529","0.0"
"s-00444","drug-DB00123","hasCommonProducer","drug-DB09152","1.0"
"s-08427","drug-DB02828","interactsWith","drug-DB09214","0.0"
"s-12494","drug-DB08573","hasSameState","drug-DB07256","1.0"
"s-14800","drug-DB12441","hasSameState","drug-DB03381","0.0"
"s-11706","drug-DB08734","hasSameState","drug-DB04665","1.0"
"s-23756","drug-DB13025","hasCommonIndication","drug-DB12952","0.0"
"s-13104","drug-DB12423","hasSameState","drug-DB02346","0.0"
"s-10223","drug-DB03566","hasSameState","drug-DB14416","1.0"
"s-22273","drug-DB05157","hasCommonIndication","drug-DB06297","1.0"
"s-05663","drug-DB04835","interactsWith","drug-DB11828","1.0"
"s-04180","drug-DB04641","hasCommonProducer","drug-DB12034","0.0"
"s-19806","disease-DS000158","hasIndication","drug-DB08999","0.0"
"s-20992","drug-DB06682","hasCommonIndication","drug-DB00993","1.0"
"s-18323","disease-DS011897","hasIndication","drug-DB01401","0.0"
"s-20779","drug-DB05295","hasCommonIndication","drug-DB05732","1.0"
"s-02686","drug-DB04515","hasCommonProducer","drug-DB12231","0.0"
"s-21602","drug-DB01132","hasCommonIndication","drug-DB00491","1.0"
"s-09186","drug-DB02828","interactsWith","drug-DB01221","0.0"
"s-16829","disease-DS011130","hasIndication","drug-DB09114","1.0"
"s-15346","disease-DS002876","hasIndication","drug-DB01043","1.0"
"s-00532","drug-DB11134","hasCommonProducer","drug-DB11210","1.0"
"s-08515","drug-DB14165","interactsWith","drug-DB09324","0.0"
"s-12582","drug-DB00287","hasSameState","drug-DB07494","0.0"
"s-00319","drug-DB04815","hasCommonProducer","drug-DB14075","1.0"
"s-12369","drug-DB08140","hasSameState","drug-DB00577","1.0"
"s-07032","drug-DB01192","interactsWith","drug-DB04908","1.0"
"s-19082","disease-DS000306","hasIndication","drug-DB05432","0.0"
"s-23844","drug-DB08507","hasCommonIndication","drug-DB08157","0.0"
"s-10311","drug-DB00433","hasSameState","drug-DB02667","1.0"
"s-22361","drug-DB14184","hasCommonIndication","drug-DB14197","1.0"
"s-05751","drug-DB09401","interactsWith","drug-DB00652","1.0"
"s-22148","drug-DB01356","hasCommonIndication","drug-DB09250","1.0"
"s-05538","drug-DB04896","interactsWith","drug-DB09224","1.0"
"s-17588","disease-DS013437","hasIndication","drug-DB07967","0.0"
"s-04055","drug-DB14434","hasCommonProducer","drug-DB02546","0.0"
"s-18411","disease-DS012882","hasIndication","drug-DB03381","0.0"
"s-20867","drug-DB00249","hasCommonIndication","drug-DB11611","1.0"
"s-02774","drug-DB12970","hasCommonProducer","drug-DB02652","0.0"
"s-01291","drug-DB00898","hasCommonProducer","drug-DB00007","1.0"
"s-16917","disease-DS002884","hasIndication","drug-DB06393","1.0"
"s-09274","drug-DB02828","interactsWith","drug-DB00764","0.0"
"s-01078","drug-DB01428","hasCommonProducer","drug-DB09495","1.0"
"s-15434","disease-DS005381","hasIndication","drug-DB00127","1.0"
"s-07993","drug-DB08355","interactsWith","drug-DB00722","0.0"
"s-11070","drug-DB11205","hasSameState","drug-DB12441","1.0"
"s-00620","drug-DB11578","hasCommonProducer","drug-DB11088","1.0"
"s-06297","drug-DB01529","interactsWith","drug-DB00421","1.0"
"s-08603","drug-DB13950","interactsWith","drug-DB04932","0.0"
"s-12670","drug-DB08879","hasSameState","drug-DB13062","0.0"
"s-00407","drug-DB11082","hasCommonProducer","drug-DB01013","1.0"
"s-12457","drug-DB07100","hasSameState","drug-DB01353","1.0"
"s-07120","drug-DB00193","interactsWith","drug-DB13769","1.0"
"s-19170","disease-DS013696","hasIndication","drug-DB13864","0.0"
"s-23932","drug-DB00193","hasCommonIndication","drug-DB04949","0.0"
"s-23719","drug-DB08759","hasCommonIndication","drug-DB02514","0.0"
"s-22236","drug-DB00563","hasCommonIndication","drug-DB00945","1.0"
"s-05626","drug-DB09239","interactsWith","drug-DB05239","1.0"
"s-17676","disease-DS009417","hasIndication","drug-DB00104","0.0"
"s-04143","drug-DB11166","hasCommonProducer","drug-DB11973","0.0"
"s-16193","disease-DS002603","hasIndication","drug-DB05805","1.0"
"s-20955","drug-DB01126","hasCommonIndication","drug-DB01216","1.0"
"s-02862","drug-DB14566","hasCommonProducer","drug-DB08903","0.0"
"s-14699","drug-DB00051","hasSameState","drug-DB00192","0.0"
"s-02649","drug-DB07547","hasCommonProducer","drug-DB12240","0.0"
"s-09362","drug-DB14165","interactsWith","drug-DB00554","0.0"
"s-01166","drug-DB10926","hasCommonProducer","drug-DB10433","1.0"
"s-09149","drug-DB00799","interactsWith","drug-DB09073","0.0"
"s-15522","disease-DS012001","hasIndication","drug-DB01511","1.0"
"s-24691","drug-DB03821","hasCommonIndication","drug-DB02664","0.0"
"s-15309","disease-DS007299","hasIndication","drug-DB00081","1.0"
"s-24478","drug-DB09383","hasCommonIndication","drug-DB12336","0.0"
"s-07868","drug-DB02990","interactsWith","drug-DB13782","0.0"
"s-06385","drug-DB00470","interactsWith","drug-DB05351","1.0"
"s-12545","drug-DB11663","hasSameState","drug-DB05798","0.0"
"s-19045","disease-DS012748","hasIndication","drug-DB07708","0.0"
"s-23807","drug-DB11938","hasCommonIndication","drug-DB12105","0.0"
"s-22324","drug-DB00398","hasCommonIndication","drug-DB11641","1.0"
"s-05714","drug-DB00606","interactsWith","drug-DB01158","1.0"
"s-17764","disease-DS012865","hasIndication","drug-DB01881","0.0"
"s-04231","drug-DB00044","hasCommonProducer","drug-DB03920","0.0"
"s-16281","disease-DS006806","hasIndication","drug-DB11560","1.0"
"s-04018","drug-DB06872","hasCommonProducer","drug-DB04302","0.0"
"s-16068","disease-DS007127","hasIndication","drug-DB00917","1.0"
"s-02950","drug-DB11902","hasCommonProducer","drug-DB02875","0.0"
"s-14787","drug-DB12407","hasSameState","drug-DB12260","0.0"
"s-02737","drug-DB00734","hasCommonProducer","drug-DB00026","0.0"
"s-09450","drug-DB14661","interactsWith","drug-DB00530","0.0"
"s-01254","drug-DB02701","hasCommonProducer","drug-DB09322","1.0"
"s-09237","drug-DB13950","interactsWith","drug-DB12667","0.0"
"s-15610","disease-DS001197","hasIndication","drug-DB04917","1.0"
"s-24566","drug-DB11846","hasCommonIndication","drug-DB08515","0.0"
"s-07956","drug-DB14165","interactsWith","drug-DB00879","0.0"
"s-11033","drug-DB02830","hasSameState","drug-DB05679","1.0"
"s-23083","drug-DB00179","hasCommonIndication","drug-DB12619","0.0"
"s-06473","drug-DB00653","interactsWith","drug-DB13203","1.0"
"s-12633","drug-DB10889","hasSameState","drug-DB14474","0.0"
"s-19133","disease-DS001333","hasIndication","drug-DB11168","0.0"
"s-21589","drug-DB05130","hasCommonIndication","drug-DB05161","1.0"
"s-04979","drug-DB04094","hasCommonProducer","drug-DB13019","0.0"
"s-03496","drug-DB02037","hasCommonProducer","drug-DB06229","0.0"
"s-05802","drug-DB00716","interactsWith","drug-DB01215","1.0"
"s-22412","drug-DB01083","hasCommonIndication","drug-DB05894","1.0"
"s-17852","disease-DS002489","hasIndication","drug-DB12881","0.0"
"s-17639","disease-DS002843","hasIndication","drug-DB06842","0.0"
"s-04106","drug-DB08807","hasCommonProducer","drug-DB04494","0.0"
"s-16156","disease-DS013155","hasIndication","drug-DB13985","1.0"
"s-20918","drug-DB01070","hasCommonIndication","drug-DB00153","1.0"
"s-14875","drug-DB12404","hasSameState","drug-DB03220","0.0"
"s-02825","drug-DB08000","hasCommonProducer","drug-DB08924","0.0"
"s-11994","drug-DB02474","hasSameState","drug-DB00379","1.0"
"s-01342","drug-DB00165","hasCommonProducer","drug-DB00548","1.0"
"s-09325","drug-DB06812","interactsWith","drug-DB01764","0.0"
"s-13392","drug-DB08885","hasSameState","drug-DB12563","0.0"
"s-01129","drug-DB10461","hasCommonProducer","drug-DB10361","1.0"
"s-13179","drug-DB00818","hasSameState","drug-DB06699","0.0"
"s-10298","drug-DB10295","hasSameState","drug-DB13068","1.0"
"s-24654","drug-DB11129","hasCommonIndication","drug-DB02868","0.0"
"s-14002","drug-DB00111","hasSameState","drug-DB05154","0.0"
"s-11121","drug-DB05799","hasSameState","drug-DB05959","1.0"
"s-23171","drug-DB12550","hasCommonIndication","drug-DB09093","0.0"
"s-06561","drug-DB01407","interactsWith","drug-DB01239","1.0"
"s-06348","drug-DB01216","interactsWith","drug-DB00457","1.0"
"s-18398","disease-DS011762","hasIndication","drug-DB12043","0.0"
"s-12721","drug-DB05441","hasSameState","drug-DB04455","0.0"
"s-12508","drug-DB12392","hasSameState","drug-DB08220","0.0"
"s-21890","drug-DB11201","hasCommonIndication","drug-DB12911","1.0"
"s-19221","disease-DS002074","hasIndication","drug-DB10339","0.0"
"s-21677","drug-DB06719","hasCommonIndication","drug-DB00007","1.0"
"s-19008","disease-DS003736","hasIndication","drug-DB10836","0.0"
"s-03584","drug-DB14235","hasCommonProducer","drug-DB11120","0.0"
"s-20194","drug-DB06276","hasCommonIndication","drug-DB05786","1.0"
"s-22500","drug-DB05407","hasCommonIndication","drug-DB04883","1.0"
"s-17940","disease-DS001070","hasIndication","drug-DB02626","0.0"
"s-17727","disease-DS001521","hasIndication","drug-DB09156","0.0"
"s-16244","disease-DS002970","hasIndication","drug-DB06271","1.0"
"s-14963","drug-DB05445","hasSameState","drug-DB03328","0.0"
"s-02913","drug-DB07450","hasCommonProducer","drug-DB00904","0.0"
"s-01430","drug-DB13903","hasCommonProducer","drug-DB13901","1.0"
"s-09413","drug-DB04783","interactsWith","drug-DB01262","0.0"
"s-13480","drug-DB12408","hasSameState","drug-DB03133","0.0"
"s-11869","drug-DB00471","hasSameState","drug-DB05075","1.0"
"s-01217","drug-DB00201","hasCommonProducer","drug-DB14588","1.0"
"s-13267","drug-DB10899","hasSameState","drug-DB00728","0.0"
"s-10386","drug-DB09011","hasSameState","drug-DB07945","1.0"
"s-24742","drug-DB01570","hasCommonIndication","drug-DB14287","0.0"
"s-24529","drug-DB06697","hasCommonIndication","drug-DB07409","0.0"
"s-07919","drug-DB06812","interactsWith","drug-DB00304","0.0"
"s-19969","disease-DS002603","hasIndication","drug-DB05811","0.0"
"s-23046","drug-DB12057","hasCommonIndication","drug-DB11166","0.0"
"s-06436","drug-DB00570","interactsWith","drug-DB00281","1.0"
"s-18486","disease-DS006598","hasIndication","drug-DB03764","0.0"
"s-21765","drug-DB05056","hasCommonIndication","drug-DB05088","1.0"
"s-20282","drug-DB00015","hasCommonIndication","drug-DB00938","1.0"
"s-03672","drug-DB12816","hasCommonProducer","drug-DB09057","0.0"
"s-20069","drug-DB08881","hasCommonIndication","drug-DB13874","1.0"
"s-03459","drug-DB01086","hasCommonProducer","drug-DB11690","0.0"
"s-17815","disease-DS000424","hasIndication","drug-DB00692","0.0"
"s-16332","disease-DS005235","hasIndication","drug-DB11584","1.0"
"s-16119","disease-DS007752","hasIndication","drug-DB05367","1.0"
"s-08891","drug-DB11661","interactsWith","drug-DB06148","0.0"
"s-00695","drug-DB00586","hasCommonProducer","drug-DB00181","1.0"
"s-08678","drug-DB11661","interactsWith","drug-DB00748","0.0"
"s-14838","drug-DB11589","hasSameState","drug-DB04897","0.0"
"s-07195","drug-DB00091","interactsWith","drug-DB06779","1.0"
"s-09501","drug-DB08355","interactsWith","drug-DB00863","0.0"
"s-11957","drug-DB11813","hasSameState","drug-DB08420","1.0"
"s-01305","drug-DB06724","hasCommonProducer","drug-DB14101","1.0"
"s-13355","drug-DB11121","hasSameState","drug-DB05667","0.0"
"s-10474","drug-DB04556","hasSameState","drug-DB07296","1.0"
"s-24830","drug-DB06793","hasCommonIndication","drug-DB08004","0.0"
"s-24617","drug-DB07223","hasCommonIndication","drug-DB14361","0.0"
"s-23134","drug-DB11411","hasCommonIndication","drug-DB11999","0.0"
"s-06524","drug-DB12781","interactsWith","drug-DB01544","1.0"
"s-18574","disease-DS009407","hasIndication","drug-DB11323","0.0"
"s-05041","drug-DB00759","interactsWith","drug-DB02187","1.0"
"s-17091","disease-DS003232","hasIndication","drug-DB01274","1.0"
"s-21853","drug-DB11095","hasCommonIndication","drug-DB00266","1.0"
"s-20370","drug-DB06655","hasCommonIndication","drug-DB05775","1.0"
"s-03760","drug-DB08293","hasCommonProducer","drug-DB06727","0.0"
"s-20157","drug-DB00675","hasCommonIndication","drug-DB05818","1.0"
"s-03547","drug-DB03290","hasCommonProducer","drug-DB01464","0.0"
"s-15597","disease-DS007540","hasIndication","drug-DB01200","1.0"
"s-17903","disease-DS003334","hasIndication","drug-DB12327","0.0"
"s-02064","drug-DB11326","hasCommonProducer","drug-DB13209","1.0"
"s-16420","disease-DS000209","hasIndication","drug-DB00187","1.0"
"s-16207","disease-DS008632","hasIndication","drug-DB05037","1.0"
"s-00783","drug-DB01593","hasCommonProducer","drug-DB14488","1.0"
"s-08766","drug-DB04783","interactsWith","drug-DB01409","0.0"
"s-14926","drug-DB01612","hasSameState","drug-DB08862","0.0"
"s-07283","drug-DB00252","interactsWith","drug-DB00630","1.0"
"s-13443","drug-DB10994","hasSameState","drug-DB01262","0.0"
"s-10562","drug-DB04271","hasSameState","drug-DB00307","1.0"
"s-10349","drug-DB03499","hasSameState","drug-DB03944","1.0"
"s-05789","drug-DB00986","interactsWith","drug-DB00844","1.0"
"s-22399","drug-DB09037","hasCommonIndication","drug-DB11952","1.0"
"s-24705","drug-DB00922","hasCommonIndication","drug-DB02152","0.0"
"s-06612","drug-DB06770","interactsWith","drug-DB00237","1.0"
"s-23222","drug-DB12836","hasCommonIndication","drug-DB09199","0.0"
"s-18662","disease-DS013436","hasIndication","drug-DB13107","0.0"
"s-23009","drug-DB08965","hasCommonIndication","drug-DB08296","0.0"
"s-18449","disease-DS011035","hasIndication","drug-DB01709","0.0"
"s-21941","drug-DB03147","hasCommonIndication","drug-DB00452","1.0"
"s-21728","drug-DB00883","hasCommonIndication","drug-DB06228","1.0"
"s-20245","drug-DB00860","hasCommonIndication","drug-DB11776","1.0"
"s-03635","drug-DB13200","hasCommonProducer","drug-DB04066","0.0"
"s-15685","disease-DS001712","hasIndication","drug-DB00517","1.0"
"s-02152","drug-DB01373","hasCommonProducer","drug-DB00326","1.0"
"s-00871","drug-DB10958","hasCommonProducer","drug-DB11032","1.0"
"s-08854","drug-DB14165","interactsWith","drug-DB01177","0.0"
"s-00658","drug-DB00149","hasCommonProducer","drug-DB00142","1.0"
"s-07371","drug-DB01331","interactsWith","drug-DB00325","1.0"
"s-07158","drug-DB00499","interactsWith","drug-DB00696","1.0"
"s-13531","drug-DB00055","hasSameState","drug-DB02497","0.0"
"s-10650","drug-DB07312","hasSameState","drug-DB08739","1.0"
"s-13318","drug-DB10906","hasSameState","drug-DB08954","0.0"
"s-10437","drug-DB08157","hasSameState","drug-DB07944","1.0"
"s-22487","drug-DB08827","hasCommonIndication","drug-DB00641","1.0"
"s-05877","drug-DB01215","interactsWith","drug-DB00985","1.0"
"s-04394","drug-DB10302","hasCommonProducer","drug-DB02966","0.0"
"s-23310","drug-DB02822","hasCommonIndication","drug-DB11779","0.0"
"s-06700","drug-DB11455","interactsWith","drug-DB00900","1.0"
"s-18750","disease-DS006648","hasIndication","drug-DB08035","0.0"
"s-18537","disease-DS007433","hasIndication","drug-DB14200","0.0"
"s-05004","drug-DB00934","interactsWith","drug-DB00528","1.0"
"s-17054","disease-DS002794","hasIndication","drug-DB06555","1.0"
"s-21816","drug-DB01578","hasCommonIndication","drug-DB00523","1.0"
"s-20333","drug-DB05023","hasCommonIndication","drug-DB05054","1.0"
"s-03723","drug-DB00113","hasCommonProducer","drug-DB03092","0.0"
"s-15773","disease-DS003234","hasIndication","drug-DB05195","1.0"
"s-02240","drug-DB10365","hasCommonProducer","drug-DB10714","1.0"
"s-14290","drug-DB10994","hasSameState","drug-DB02352","0.0"
"s-02027","drug-DB09462","hasCommonProducer","drug-DB04824","1.0"
"s-14077","drug-DB03843","hasSameState","drug-DB04597","0.0"
"s-11196","drug-DB02338","hasSameState","drug-DB07225","1.0"
"s-08942","drug-DB04783","interactsWith","drug-DB13003","0.0"
"s-12796","drug-DB05685","hasSameState","drug-DB13064","0.0"
"s-00746","drug-DB09278","hasCommonProducer","drug-DB13293","1.0"
"s-08729","drug-DB00799","interactsWith","drug-DB01093","0.0"
"s-07246","drug-DB11189","interactsWith","drug-DB00777","1.0"
"s-19296","disease-DS003171","hasIndication","drug-DB06249","0.0"
"s-13406","drug-DB04949","hasSameState","drug-DB01701","0.0"
"s-10525","drug-DB12487","hasSameState","drug-DB03983","1.0"
"s-22575","drug-DB03574","hasCommonIndication","drug-DB04291","0.0"
"s-05965","drug-DB09023","interactsWith","drug-DB04836","1.0"
"s-21092","drug-DB06530","hasCommonIndication","drug-DB00787","1.0"
"s-04482","drug-DB00357","hasCommonProducer","drug-DB01206","0.0"
"s-04269","drug-DB05311","hasCommonProducer","drug-DB03717","0.0"
"s-18625","disease-DS009590","hasIndication","drug-DB12871","0.0"
"s-17142","disease-DS005664","hasIndication","drug-DB00192","1.0"
"s-02988","drug-DB05680","hasCommonProducer","drug-DB10439","0.0"
"s-21904","drug-DB04838","hasCommonIndication","drug-DB06152","1.0"
"s-09488","drug-DB06812","interactsWith","drug-DB01015","0.0"
"s-20421","drug-DB05507","hasCommonIndication","drug-DB01242","1.0"
"s-03811","drug-DB01113","hasCommonProducer","drug-DB04388","0.0"
"s-15861","disease-DS013565","hasIndication","drug-DB03843","1.0"
"s-20208","drug-DB13928","hasCommonIndication","drug-DB00412","1.0"
"s-15648","disease-DS004632","hasIndication","drug-DB05451","1.0"
"s-02115","drug-DB11073","hasCommonProducer","drug-DB11091","1.0"
"s-14165","drug-DB10864","hasSameState","drug-DB13257","0.0"
"s-11284","drug-DB06961","hasSameState","drug-DB04485","1.0"
"s-00834","drug-DB03209","hasCommonProducer","drug-DB09257","1.0"
"s-08817","drug-DB02828","interactsWith","drug-DB01029","0.0"
"s-12884","drug-DB00835","hasSameState","drug-DB02538","0.0"
"s-07334","drug-DB00321","interactsWith","drug-DB12480","1.0"
"s-19384","disease-DS008302","hasIndication","drug-DB11682","0.0"
